Category: All categories

Week,bitcoin price: (United States)
2020-07-05,8
2020-07-12,7
2020-07-19,7
2020-07-26,17
2020-08-02,16
2020-08-09,13
2020-08-16,12
2020-08-23,8
2020-08-30,10
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,7
2020-10-18,12
2020-10-25,14
2020-11-01,14
2020-11-08,16
2020-11-15,26
2020-11-22,28
2020-11-29,27
2020-12-06,20
2020-12-13,33
2020-12-20,34
2020-12-27,56
2021-01-03,89
2021-01-10,86
2021-01-17,56
2021-01-24,53
2021-01-31,46
2021-02-07,76
2021-02-14,76
2021-02-21,86
2021-02-28,59
2021-03-07,58
2021-03-14,56
2021-03-21,49
2021-03-28,43
2021-04-04,41
2021-04-11,53
2021-04-18,70
2021-04-25,48
2021-05-02,43
2021-05-09,60
2021-05-16,100
2021-05-23,70
2021-05-30,51
2021-06-06,48
2021-06-13,40
2021-06-20,51
2021-06-27,33
2021-07-04,28
2021-07-11,27
2021-07-18,31
2021-07-25,38
2021-08-01,32
2021-08-08,37
2021-08-15,30
2021-08-22,31
2021-08-29,26
2021-09-05,38
2021-09-12,25
2021-09-19,35
2021-09-26,26
2021-10-03,33
2021-10-10,36
2021-10-17,51
2021-10-24,40
2021-10-31,30
2021-11-07,38
2021-11-14,38
2021-11-21,34
2021-11-28,39
2021-12-05,44
2021-12-12,39
2021-12-19,34
2021-12-26,31
2022-01-02,38
2022-01-09,38
2022-01-16,43
2022-01-23,57
2022-01-30,37
2022-02-06,37
2022-02-13,29
2022-02-20,42
2022-02-27,34
2022-03-06,34
2022-03-13,25
2022-03-20,25
2022-03-27,26
2022-04-03,20
2022-04-10,22
2022-04-17,20
2022-04-24,20
2022-05-01,23
2022-05-08,64
2022-05-15,43
2022-05-22,33
2022-05-29,29
2022-06-05,27
2022-06-12,91
2022-06-19,65
2022-06-26,47
2022-07-03,40
2022-07-10,36
2022-07-17,33
2022-07-24,30
2022-07-31,24
2022-08-07,24
2022-08-14,22
2022-08-21,21
2022-08-28,22
2022-09-04,23
2022-09-11,22
2022-09-18,26
2022-09-25,22
2022-10-02,19
2022-10-09,20
2022-10-16,16
2022-10-23,17
2022-10-30,16
2022-11-06,39
2022-11-13,38
2022-11-20,28
2022-11-27,23
2022-12-04,19
2022-12-11,23
2022-12-18,18
2022-12-25,16
2023-01-01,15
2023-01-08,18
2023-01-15,22
2023-01-22,22
2023-01-29,21
2023-02-05,17
2023-02-12,19
2023-02-19,19
2023-02-26,16
2023-03-05,19
2023-03-12,32
2023-03-19,32
2023-03-26,24
2023-04-02,21
2023-04-09,28
2023-04-16,22
2023-04-23,21
2023-04-30,20
2023-05-07,20
2023-05-14,17
2023-05-21,16
2023-05-28,16
2023-06-04,18
2023-06-11,17
2023-06-18,20
2023-06-25,20
2023-07-02,18
2023-07-09,19
2023-07-16,17
2023-07-23,16
2023-07-30,14
2023-08-06,14
2023-08-13,17
2023-08-20,16
2023-08-27,15
2023-09-03,12
2023-09-10,13
2023-09-17,12
2023-09-24,12
2023-10-01,14
2023-10-08,13
2023-10-15,16
2023-10-22,27
2023-10-29,20
2023-11-05,23
2023-11-12,20
2023-11-19,21
2023-11-26,20
2023-12-03,34
2023-12-10,26
2023-12-17,24
2023-12-24,23
2023-12-31,28
2024-01-07,42
2024-01-14,24
2024-01-21,21
2024-01-28,17
2024-02-04,18
2024-02-11,31
2024-02-18,23
2024-02-25,45
2024-03-03,56
2024-03-10,55
2024-03-17,41
2024-03-24,36
2024-03-31,31
2024-04-07,32
2024-04-14,37
2024-04-21,28
2024-04-28,28
2024-05-05,24
2024-05-12,24
2024-05-19,26
2024-05-26,21
2024-06-02,24
2024-06-09,21
2024-06-16,20
2024-06-23,21
2024-06-30,23
2024-07-07,22
2024-07-14,25
2024-07-21,25
2024-07-28,26
2024-08-04,38
2024-08-11,22
2024-08-18,21
2024-08-25,19
2024-09-01,19
2024-09-08,18
2024-09-15,20
2024-09-22,20
2024-09-29,18
2024-10-06,16
2024-10-13,17
2024-10-20,17
2024-10-27,24
2024-11-03,37
2024-11-10,75
2024-11-17,65
2024-11-24,54
2024-12-01,57
2024-12-08,44
2024-12-15,55
2024-12-22,41
2024-12-29,37
2025-01-05,38
2025-01-12,39
2025-01-19,49
2025-01-26,36
2025-02-02,42
2025-02-09,26
2025-02-16,25
2025-02-23,42
2025-03-02,50
2025-03-09,45
2025-03-16,29
2025-03-23,28
2025-03-30,31
2025-04-06,39
2025-04-13,24
2025-04-20,29
2025-04-27,24
2025-05-04,29
2025-05-11,30
2025-05-18,37
2025-05-25,31
2025-06-01,24
2025-06-08,27
2025-06-15,23
2025-06-22,25
2025-06-29,24
2025-07-06,19
